hospital,frequency,month,procedure,satis,proc
1,High,7,New,4.1065269,1
1,Medium,3,Old,3.3194752,0
1,Very high,2,Old,3.4117203,0
1,Medium,4,New,3.0040255,1
1,Low,3,Old,3.1107202,0
1,Low,7,New,2.8821645,1
1,Medium,4,New,4.4102569,1
1,Very high,1,Old,2.9028852,0
1,Medium,3,Old,3.0502264,0
1,Medium,1,Old,2.4388423,0
1,Very high,1,Old,3.3334658,0
1,Low,4,New,2.1660771,1
1,Medium,6,New,3.8373752,1
1,High,1,Old,2.7196901,0
1,Very high,1,Old,2.9863582,0
1,Medium,4,New,4.3714232,1
1,Low,1,Old,4.2379804,0
1,Medium,2,Old,3.1847775,0
1,Very high,4,New,4.7208891,1
1,Medium,6,New,4.6496882,1
1,Low,1,Old,2.9843798,0
1,High,4,New,3.5139706,1
1,High,2,Old,2.6563683,0
1,Low,2,Old,2.354748,0
1,Medium,5,New,3.1379597,1
1,Medium,1,Old,3.8383093,0
1,High,1,Old,3.1629472,0
1,Very high,2,Old,3.7029133,0
1,Medium,1,Old,3.437309,0
1,Medium,5,New,5.0901446,1
1,Medium,7,New,4.5048442,1
1,Low,1,Old,3.4204652,0
1,Low,6,New,3.3275115,1
1,Very high,4,New,4.3704166,1
1,Very high,6,New,4.050149,1
1,High,3,Old,2.871294,0
1,Medium,5,New,3.6508729,1
1,Very high,3,Old,2.8511512,0
1,Very high,3,Old,3.8070557,0
1,High,5,New,3.7803051,1
1,Low,5,New,3.3520477,1
1,Medium,7,New,4.7689219,1
1,Low,7,New,3.4658654,1
1,Medium,1,Old,2.5920646,0
1,Medium,7,New,4.9682145,1
1,Low,6,New,3.3212709,1
1,Very high,1,Old,4.1866164,0
1,Medium,1,Old,3.6877282,0
1,Very high,5,New,4.0323558,1
1,Low,1,Old,3.9317381,0
1,Low,3,Old,3.2447402,0
1,Medium,3,Old,2.7871339,0
1,Medium,5,New,3.6335094,1
1,Low,5,New,3.5780697,1
1,Medium,1,Old,4.6467633,0
1,High,6,New,3.0564852,1
1,Low,7,New,4.4179487,1
1,Low,6,New,4.195787,1
1,Medium,5,New,2.9588513,1
1,High,7,New,4.8968992,1
1,High,1,Old,2.8590865,0
1,Low,5,New,4.7369308,1
1,Low,1,Old,2.6550086,0
1,Low,1,Old,4.116375,0
1,Very high,7,New,3.8828547,1
1,Low,5,New,3.1883161,1
1,Medium,1,Old,3.1616621,0
1,Medium,6,New,3.5339208,1
1,Medium,2,Old,3.5557601,0
1,High,6,New,4.062469,1
1,High,1,Old,3.1344352,0
1,Medium,6,New,4.8979492,1
1,Medium,3,Old,3.7669029,0
1,Low,6,New,3.7227967,1
1,Medium,3,Old,3.4048984,0
1,Medium,3,Old,3.4405773,0
1,High,6,New,3.1431184,1
1,Very high,1,Old,4.184267,0
1,Very high,5,New,5.0343509,1
1,Medium,1,Old,2.6940982,0
1,Medium,1,Old,3.9863641,0
1,Low,1,Old,2.5674443,0
1,Medium,1,Old,2.7108257,0
1,High,5,New,4.4441195,1
1,Low,5,New,4.5533419,1
1,Medium,7,New,3.5634248,1
1,Very high,1,Old,2.3144205,0
1,Very high,5,New,4.3496399,1
1,Medium,1,Old,4.3253112,0
1,Very high,7,New,4.6201482,1
1,Low,6,New,3.9305825,1
1,Medium,6,New,3.9899032,1
1,Medium,4,New,3.99946,1
1,Low,3,Old,2.9061346,0
1,Medium,5,New,4.1707807,1
1,Very high,7,New,4.7032104,1
1,High,1,Old,2.8146434,0
1,Very high,3,Old,2.4118655,0
1,High,2,Old,2.7980502,0
1,Low,2,Old,4.3193178,0
1,Very high,1,Old,2.4621358,0
1,Medium,6,New,3.5582752,1
1,Very high,7,New,5.4160361,1
1,Medium,7,New,3.4422376,1
1,Low,4,New,4.380723,1
1,Medium,7,New,3.8845372,1
1,Low,2,Old,3.4723525,0
1,Low,4,New,3.2111304,1
1,Medium,2,Old,3.0751073,0
1,Medium,4,New,2.649497,1
1,Medium,2,Old,3.257051,0
1,Low,1,Old,2.5873148,0
1,Very high,6,New,3.8964574,1
1,High,2,Old,2.743638,0
1,Medium,1,Old,4.0474882,0
1,Medium,2,Old,2.8963313,0
1,Medium,1,Old,2.5685573,0
1,Low,2,Old,2.6664143,0
1,High,3,Old,1.9217652,0
1,Low,1,Old,2.7443607,0
1,Low,1,Old,3.3240526,0
1,Medium,1,Old,2.6475801,0
1,Medium,3,Old,3.6462064,0
1,Medium,2,Old,3.4241343,0
1,Low,1,Old,2.0289776,0
1,Medium,6,New,3.1253557,1
1,Very high,4,New,4.3041973,1
1,Very high,1,Old,4.4428163,0
1,Low,3,Old,2.4404011,0
1,Medium,2,Old,4.2131248,0
1,Low,7,New,3.5868685,1
1,Low,5,New,4.4714618,1
1,Very high,2,Old,3.4107308,0
1,Very high,6,New,4.6555305,1
1,Low,1,Old,3.9534543,0
1,Low,2,Old,3.27967,0
1,High,4,New,3.7971935,1
1,Low,4,New,4.4602032,1
1,Low,3,Old,4.530169,0
1,Low,3,Old,2.6910043,0
1,Medium,1,Old,2.4132767,0
1,High,5,New,4.8103552,1
1,High,1,Old,3.573792,0
1,Low,7,New,2.8539839,1
1,Medium,3,Old,2.6682668,0
1,Medium,2,Old,2.9783742,0
1,Medium,1,Old,4.0047035,0
1,Medium,6,New,4.3905067,1
1,Low,4,New,2.7925179,1
1,Medium,4,New,4.4866834,1
1,Very high,3,Old,2.9753275,0
1,Medium,5,New,4.2482681,1
1,Very high,4,New,4.615469,1
1,Low,2,Old,4.6419287,0
1,High,3,Old,3.2909651,0
1,Low,1,Old,3.1783631,0
1,Low,2,Old,2.7034175,0
1,Medium,4,New,2.9906654,1
1,Medium,2,Old,2.0362887,0
1,Very high,5,New,5.7219033,1
1,Very high,2,Old,1.9480083,0
1,Medium,6,New,2.9496961,1
1,High,4,New,3.6167696,1
1,Medium,1,Old,3.7531054,0
1,Medium,1,Old,3.9115095,0
1,Low,6,New,3.9174902,1
1,Very high,6,New,5.3277364,1
1,Low,6,New,4.9744768,1
1,Low,4,New,4.1675029,1
1,Low,7,New,3.951746,1
1,Low,3,Old,4.1592507,0
1,High,7,New,3.8322623,1
1,Low,4,New,3.472333,1
1,Medium,5,New,2.7988131,1
1,Medium,3,Old,3.2976496,0
1,Medium,5,New,4.7697883,1
1,Medium,7,New,3.7419157,1
1,Low,5,New,3.8760691,1
1,Low,7,New,2.9592836,1
1,Medium,4,New,3.7416539,1
1,Medium,4,New,4.9813776,1
1,Medium,7,New,3.1215677,1
1,Medium,7,New,3.6651254,1
1,Low,1,Old,3.8862922,0
2,Low,7,New,4.6185017,1
2,Medium,3,Old,3.3503425,0
2,Low,1,Old,4.5523262,0
2,High,3,Old,2.9117863,0
2,High,7,New,4.2300081,1
2,Very high,3,Old,2.4524038,0
2,High,4,New,3.9137931,1
2,High,7,New,4.9925957,1
2,Very high,6,New,3.3911128,1
2,High,2,Old,1.9944162,0
2,High,6,New,3.4816189,1
2,Very high,7,New,5.280014,1
2,Medium,6,New,4.3579178,1
2,High,3,Old,2.6808743,0
2,Very high,6,New,4.1867371,1
2,Very high,6,New,5.9065747,1
2,High,1,Old,2.7908716,0
2,Very high,4,New,6.1616693,1
2,Medium,4,New,4.1056347,1
2,Very high,2,Old,3.2753477,0
2,High,4,New,4.572506,1
2,Very high,4,New,4.5248222,1
2,Very high,2,Old,4.5207558,0
2,Medium,7,New,1.6847862,1
2,Medium,2,Old,2.5329063,0
2,Low,4,New,3.8686023,1
2,High,2,Old,2.7462373,0
2,Very high,4,New,4.8280468,1
2,Medium,4,New,4.0884552,1
2,Very high,6,New,4.2639632,1
2,Medium,4,New,4.7067356,1
2,Very high,2,Old,3.2735276,0
2,High,2,Old,3.2427664,0
2,Low,2,Old,3.9907379,0
2,Medium,4,New,5.0143895,1
2,Medium,3,Old,2.8121378,0
2,Very high,1,Old,2.9653437,0
2,Very high,4,New,3.4561341,1
2,Very high,1,Old,3.19979,0
2,Low,1,Old,3.3914542,0
2,Very high,1,Old,4.264586,0
2,Low,4,New,4.4294806,1
2,Very high,4,New,4.3703465,1
2,Very high,4,New,4.8109117,1
2,Low,5,New,5.3171415,1
2,High,3,Old,2.3712394,0
2,High,5,New,5.7587519,1
2,Very high,5,New,5.2041483,1
2,Medium,1,Old,3.9744096,0
2,Low,6,New,3.554122,1
2,Medium,1,Old,2.5604038,0
2,High,5,New,4.7441115,1
2,Medium,1,Old,4.1321263,0
2,Medium,1,Old,2.6712208,0
2,Medium,5,New,3.7496135,1
2,Very high,3,Old,3.0845912,0
2,Very high,1,Old,2.9491642,0
2,High,6,New,3.5766091,1
2,Medium,6,New,4.6415668,1
2,Low,1,Old,3.9028387,0
2,Very high,1,Old,4.3268967,0
2,Low,3,Old,3.9720523,0
2,Medium,1,Old,3.2877915,0
2,High,1,Old,2.5431106,0
2,Very high,1,Old,3.3291733,0
2,Very high,5,New,5.3173199,1
2,Very high,3,Old,4.6152716,0
2,Very high,5,New,3.5526817,1
2,Very high,7,New,4.7292042,1
2,Very high,1,Old,2.9233665,0
2,High,1,Old,3.1719277,0
2,High,3,Old,3.6661198,0
2,Medium,1,Old,3.6671364,0
2,Very high,1,Old,4.8191833,0
2,Very high,6,New,4.6719565,1
2,Very high,6,New,4.9722738,1
2,High,5,New,4.4864945,1
2,Low,3,Old,4.5327206,0
2,High,1,Old,2.7977183,0
2,Very high,3,Old,3.425302,0
2,Medium,3,Old,2.8353,0
2,Medium,3,Old,3.7223713,0
2,Low,7,New,4.0956841,1
2,Very high,6,New,4.566452,1
2,Very high,2,Old,4.3218741,0
2,High,1,Old,2.8874426,0
2,Very high,7,New,6.316484,1
2,Very high,7,New,5.2331071,1
2,Very high,5,New,5.3643522,1
2,High,6,New,4.71629,1
2,Low,6,New,3.9025648,1
2,Very high,1,Old,3.956223,0
2,Very high,1,Old,4.2580557,0
2,Low,1,Old,4.4044867,0
2,Very high,1,Old,3.7823277,0
2,Very high,5,New,4.5302515,1
2,Very high,5,New,5.0100961,1
2,Low,5,New,3.999053,1
2,Very high,1,Old,2.6854193,0
2,Very high,5,New,5.4349666,1
2,Low,1,Old,3.5346112,0
2,High,6,New,5.5364866,1
2,Very high,6,New,4.4599247,1
2,Medium,6,New,3.3403683,1
2,High,1,Old,3.8988962,0
2,Very high,1,Old,4.4918451,0
2,Medium,1,Old,3.9283986,0
2,Medium,5,New,4.4427509,1
2,Medium,7,New,4.1110625,1
2,High,1,Old,3.0274687,0
2,Low,7,New,4.8032675,1
2,Medium,7,New,5.1066642,1
2,Medium,6,New,3.9033778,1
2,Medium,5,New,4.594636,1
2,Very high,6,New,5.0672021,1
2,Medium,5,New,3.7262192,1
2,Very high,5,New,5.6082988,1
2,Medium,1,Old,3.3921542,0
2,Medium,1,Old,4.5161414,0
2,Very high,7,New,4.8097577,1
2,High,7,New,4.4655485,1
2,Low,5,New,4.9693294,1
2,Medium,1,Old,2.8613844,0
2,Very high,2,Old,3.0024545,0
2,Very high,1,Old,3.9633348,0
2,Low,2,Old,3.6716931,0
2,Medium,7,New,4.0563159,1
2,Very high,2,Old,3.9181712,0
2,Very high,7,New,5.5480704,1
2,Medium,6,New,4.6169453,1
2,Medium,3,Old,4.2269859,0
2,Very high,1,Old,3.8386283,0
2,Low,1,Old,3.7399518,0
2,Very high,1,Old,2.6825287,0
2,Very high,5,New,4.0029607,1
2,High,5,New,3.3443973,1
2,Medium,5,New,4.6487317,1
2,Very high,3,Old,4.1162539,0
2,Medium,7,New,4.0826054,1
2,Low,3,Old,3.3630097,0
2,Very high,3,Old,3.686862,0
2,Medium,2,Old,4.2651706,0
2,Very high,3,Old,3.8126318,0
2,Very high,3,Old,3.7504911,0
2,Medium,2,Old,4.1085896,0
2,Low,4,New,3.6715682,1
2,High,4,New,4.8875422,1
2,Medium,2,Old,3.1840291,0
2,Very high,4,New,4.7118344,1
2,Very high,2,Old,3.2387338,0
2,Very high,7,New,4.8446746,1
2,Low,6,New,4.5479779,1
2,High,7,New,3.9574745,1
2,High,1,Old,3.1174624,0
2,Low,2,Old,4.0967097,0
2,Very high,7,New,3.6232982,1
2,High,4,New,3.6657343,1
2,Medium,4,New,3.5044432,1
2,Very high,3,Old,4.2788773,0
2,Very high,1,Old,3.1774542,0
2,Very high,7,New,4.6602926,1
2,Very high,4,New,4.6884294,1
2,Very high,2,Old,3.1212573,0
2,High,2,Old,3.0044322,0
2,Very high,1,Old,3.8181376,0
2,Medium,2,Old,4.0629778,0
2,Very high,4,New,4.3529925,1
2,Very high,2,Old,3.9105079,0
3,Very high,4,New,5.3153105,1
3,Low,4,New,4.5969758,1
3,Very high,6,New,4.6220512,1
3,Medium,6,New,5.3323398,1
3,Low,2,Old,3.2241421,0
3,Medium,1,Old,3.3199766,0
3,Medium,1,Old,4.0431848,0
3,Medium,1,Old,3.4105072,0
3,Very high,3,Old,2.1833084,0
3,Very high,4,New,5.3531728,1
3,High,3,Old,3.6526098,0
3,Low,5,New,4.5981231,1
3,Low,5,New,4.6140995,1
3,Low,2,Old,2.9305882,0
3,Very high,5,New,4.9491515,1
3,Low,6,New,3.5639696,1
3,Very high,6,New,5.8541818,1
3,Low,2,Old,3.8077993,0
3,High,7,New,4.8973703,1
3,Medium,6,New,4.0706234,1
3,Low,3,Old,3.5441496,0
3,High,1,Old,2.41734,0
3,High,6,New,5.0697188,1
3,Medium,2,Old,3.1134574,0
3,Very high,4,New,2.9150136,1
3,Very high,1,Old,3.2340381,0
3,Medium,7,New,4.2148781,1
3,High,7,New,5.0962677,1
3,High,3,Old,3.6250515,0
3,Very high,3,Old,3.3457661,0
3,Low,3,Old,4.3301902,0
3,Very high,1,Old,3.7989085,0
3,Medium,4,New,3.9591098,1
3,Very high,5,New,6.2598467,1
3,Medium,2,Old,2.3218193,0
3,Low,2,Old,4.8272066,0
3,Medium,1,Old,3.0366538,0
3,Low,2,Old,4.5285711,0
